03e7bfc	0.000	nan	{"k_bind": 23.093491944330633, "k_des": 1.486054925265366, "k_inh": 0.19014186609122133, "k_adapt": 0.08949107389698323, "k_trans": 18.595704268550953, "k_rel": 0.2096885211276687, "k_gain": 0.4569860813490568, "k_fb": 0.10397784292727487, "k_h_on": 2.29494949529289, "k_h_off": 0.2685046544531289, "T_end": 62.30992271758011}
e295599	0.000	0.310823	{"k_bind": 0.5, "k_des": 0.04351150980036812, "k_inh": 0.045730505192732605, "k_adapt": 13.908466470666276, "k_trans": 100.0, "k_rel": 0.7336284563797719, "k_gain": 0.1, "k_fb": 0.5490781246708049, "k_h_on": 0.03981071705534971, "k_h_off": 0.029300254284888, "T_end": 20.0}
e295599	0.714	0.048072	{"k_bind": 0.5, "k_des": 0.03397062773199821, "k_inh": 4.837714409698399, "k_adapt": 1.948639051821114, "k_trans": 30.26981466303508, "k_rel": 0.16179987671720283, "k_gain": 1.1590329567161242, "k_fb": 0.3983589159887933, "k_h_on": 5.2150211821829595, "k_h_off": 0.005017806080764056, "T_end": 22.419611711295357}
a76ea11	0.143	0.127599	{"k_bind": 0.1, "k_des": 0.004999999999999999, "k_inh": 0.01, "k_adapt": 0.6924804075753632, "k_trans": 9.207549461042074, "k_rel": 0.8012683059747221, "k_gain": 3.9903009941963226, "k_fb": 0.7864695179605886, "k_h_on": 0.2960502720069101, "k_h_off": 0.001, "T_end": 15.0}
7e62d21	0.429	0.071496	{"k_bind": 0.8388894098418345, "k_des": 1.3255738654523364, "k_inh": 0.12946061374041343, "k_adapt": 0.9634635945119521, "k_trans": 57.5454153479366, "k_rel": 0.17648070766773882, "k_gain": 0.4514887428592658, "k_fb": 0.3784468303410689, "k_h_on": 14.216854782739471, "k_h_off": 0.011672786184786402, "b0": 1.6224028607530603, "k_b_dec": 1.829104140244768, "T_end": 21.749260670535257}
a682261	0.714	0.060219	{"k_bind": 0.34962299531932506, "k_des": 0.10152726141143749, "k_inh": 0.1717436081990069, "k_adapt": 2.1381524884856242, "k_trans": 12.90318548422597, "k_rel": 0.11153564218956911, "k_gain": 3.3859064817055247, "k_fb": 0.42920897584860324, "k_h_on": 5.814300723612053, "k_h_off": 0.0013449997566572043, "b0": 5.947201742468757, "k_b_dec": 3.2323127976272152, "T_end": 18.0}
510377f	0.143	0.574643	{"k_bind": 4.099857436160142, "k_des": 0.03375477716775678, "k_inh": 0.01, "k_adapt": 3.053164025431102, "k_trans": 0.5, "k_rel": 0.35650155809314493, "k_gain": 10.308518089574726, "k_fb": 0.2655389413795383, "k_h_on": 3.684768964125314, "k_h_off": 0.04118390137041103, "T_end": 20.0}
510377f	0.429	0.070048	{"k_bind": 1.9431011657922226, "k_des": 0.9610594408661826, "k_inh": 24.377952197541354, "k_adapt": 0.8924862754317741, "k_trans": 6.977807460817322, "k_rel": 0.049999999999999996, "k_gain": 0.8072941027883231, "k_fb": 0.3819918970355178, "k_h_on": 7.418959946408791, "k_h_off": 0.01606388395334521, "b0": 6.311618486179921, "k_b_dec": 0.18015352440032664, "k_base": 0.0486939089361411, "T_end": 18.0}
f64c23c	0.286	0.146651	{"k_bind": 10.0, "k_des": 1.340227290314902, "k_trans": 100.0, "k_rel": 0.36351467935821896, "k_gain": 0.01, "k_fb": 0.5139320648015863, "k_h_on": 0.010032371875084479, "k_h_off": 0.05323929811049219, "k_h_inh": 7.190199149255813, "b0": 3.6148473156803873, "k_b_dec": 0.06625434810190634, "T_end": 18.0}
04a803b	0.143	0.217805	{"k_bind": 1.2517730437657193, "k_des": 0.01, "k_trans": 32.154940559031836, "k_rel": 1.1145397998716795, "k_gain": 0.01, "k_fb": 0.1422697915935826, "k_h_on": 0.001, "k_h_off": 0.40342337942813594, "k_h_inh": 34.176616648750134, "b0": 40.62321294667481, "k_b_dec": 0.3027330889691268, "T_end": 29.3533260267858}
737b76c	0.429	0.054494	{"k_bind": 0.5951403476119341, "k_des": 0.11470143089754498, "k_trans": 1.2394029038827197, "k_rel": 0.5081377926690394, "k_gain": 0.16105237840583012, "k_fb": 0.23658153650201635, "k_h_on": 0.008203697993116776, "k_h_off": 0.33489603312714133, "k_h_inh": 5.27571469917847, "b0": 49.99999999999999, "k_b_dec": 0.27045283425520134, "T_end": 25.0}
48ab142	0.000	0.499707	{"k_bind": 0.5, "k_des": 0.4143827925593977, "k_inh": 0.0256176918940483, "k_adapt": 1.2991087384282092, "k_trans": 5.268705537188957, "k_rel": 0.6596725658906738, "k_gain": 6.465018651817512, "k_fb": 0.6702700286819637, "k_h_on": 1.881271959242148, "k_h_off": 0.06846691875946118, "T_end": 20.0}
48ab142	0.143	0.153066	{"k_bind": 0.4260279685810583, "k_des": 0.020000000000000004, "k_trans": 0.7065616136778573, "k_rel": 0.5367648113905532, "k_gain": 0.17868582787874823, "k_fb": 0.174770319801132, "k_h_on": 0.001, "k_h_off": 0.5782549384743795, "k_h_inh": 41.05369340449815, "b0": 175.1820125266952, "k_b_dec": 0.5267551375347966, "T_end": 20.746852922051175}
